evaluation_id,batch_id,domain,complexity,true_quality
E00891,B6,opinion,moderate,2
E00892,B6,opinion,simple,4
E00893,B6,opinion,moderate,5
E00894,B6,technical,moderate,4
E00895,B6,creative,moderate,3
E00896,B6,creative,moderate,5
E00897,B6,opinion,moderate,3
E00898,B6,opinion,simple,4
E00899,B6,factual,moderate,3
E00900,B6,creative,moderate,5
